[train_hs7] 1v2 room+ramp obs=33 steps=20000000 s2=0-0 hidden=256 saving to hs_ramp_*.pt
[train_hs7] hider: warm-started from hs_ramp_w_hider.pt (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=256)
Iter 95 | Steps 778240 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.546  hid=0.77 (22ep) | seeker=-0.548  hid=0.77 (22ep) | barr=0.07 elev=0.14 rlock=0.14
Iter 96 | Steps 786432 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.600  hid=0.80 (22ep) | seeker=-0.491  hid=0.75 (22ep) | barr=0.09 elev=0.11 rlock=0.02
Iter 97 | Steps 794624 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.363  hid=0.68 (22ep) | seeker=-0.500  hid=0.75 (22ep) | barr=0.11 elev=0.13 rlock=0.11
Iter 98 | Steps 802816 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.516  hid=0.76 (22ep) | seeker=-0.610  hid=0.81 (22ep) | barr=0.14 elev=0.17 rlock=0.07
Iter 99 | Steps 811008 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.595  hid=0.80 (22ep) | seeker=-0.595  hid=0.80 (22ep) | barr=0.16 elev=0.15 rlock=0.02
Iter 100 | Steps 819200 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.412  hid=0.71 (22ep) | seeker=-0.644  hid=0.82 (22ep) | barr=0.14 elev=0.13 rlock=0.11
Iter 101 | Steps 827392 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.401  hid=0.70 (22ep) | seeker=-0.549  hid=0.77 (22ep) | barr=0.11 elev=0.19 rlock=0.14
Iter 102 | Steps 835584 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.559  hid=0.78 (22ep) | seeker=-0.593  hid=0.80 (22ep) | barr=0.05 elev=0.14 rlock=0.07
Iter 103 | Steps 843776 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.441  hid=0.72 (22ep) | seeker=-0.403  hid=0.70 (22ep) | barr=0.02 elev=0.15 rlock=0.14
Iter 104 | Steps 851968 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.665  hid=0.83 (22ep) | seeker=-0.492  hid=0.75 (22ep) | barr=0.09 elev=0.15 rlock=0.07
Iter 105 | Steps 860160 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.469  hid=0.73 (22ep) | seeker=-0.380  hid=0.69 (22ep) | barr=0.09 elev=0.20 rlock=0.11
Iter 106 | Steps 868352 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.660  hid=0.83 (22ep) | seeker=-0.401  hid=0.70 (22ep) | barr=0.20 elev=0.16 rlock=0.07
Iter 107 | Steps 876544 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.484  hid=0.74 (22ep) | seeker=-0.508  hid=0.75 (22ep) | barr=0.16 elev=0.17 rlock=0.05
Iter 108 | Steps 884736 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.504  hid=0.75 (22ep) | seeker=-0.501  hid=0.75 (22ep) | barr=0.05 elev=0.12 rlock=0.18
