[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=40000000 s2=6000000-12000000 hidden=256
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:216: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 45 | Steps 360000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.716  hid=0.86 (20ep) | seeker=-0.956  hid=0.98 (20ep) | barr=0.20 elev=0.07 rlock=0.07
Iter 46 | Steps 368000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.568  hid=0.78 (20ep) | seeker=-0.883  hid=0.94 (20ep) | barr=0.05 elev=0.14 rlock=0.10
Iter 47 | Steps 376000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.872  hid=0.94 (20ep) | seeker=-0.857  hid=0.93 (20ep) | barr=0.17 elev=0.28 rlock=0.03
Iter 48 | Steps 384000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.758  hid=0.88 (20ep) | seeker=-0.945  hid=0.97 (20ep) | barr=0.15 elev=0.14 rlock=0.05
Iter 49 | Steps 392000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.850  hid=0.92 (20ep) | seeker=-0.720  hid=0.86 (20ep) | barr=0.15 elev=0.16 rlock=0.05
Iter 50 | Steps 400000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.926  hid=0.96 (20ep) | seeker=-0.607  hid=0.80 (20ep) | barr=0.17 elev=0.20 rlock=0.03
Iter 51 | Steps 408000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.596  hid=0.80 (20ep) | seeker=-0.670  hid=0.84 (20ep) | barr=0.20 elev=0.09 rlock=0.20
Iter 52 | Steps 416000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.812  hid=0.91 (20ep) | seeker=-0.824  hid=0.91 (20ep) | barr=0.30 elev=0.09 rlock=0.05
Iter 53 | Steps 424000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.942  hid=0.97 (20ep) | seeker=-0.879  hid=0.94 (20ep) | barr=0.28 elev=0.07 rlock=0.07
Iter 54 | Steps 432000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.859  hid=0.93 (20ep) | seeker=-0.890  hid=0.94 (20ep) | barr=0.10 elev=0.12 rlock=0.07
