[train_hs7] room+ramp 1v1 obs=28 steps=40000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: fresh net (hidden=256)
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 40 | Steps 81920 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.931  hid=0.97 (5ep) | seeker=-0.939  hid=0.97 (5ep) | barr=0.30 elev=0.01 rlock=0.00
Iter 41 | Steps 83968 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.587  hid=0.79 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.40 elev=0.03 rlock=0.00
Iter 42 | Steps 86016 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.943  hid=0.97 (5ep) | seeker=-0.657  hid=0.83 (5ep) | barr=0.10 elev=0.01 rlock=0.00
Iter 43 | Steps 88064 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.99 | hider=+0.800  hid=0.90 (5ep) | seeker=-0.454  hid=0.73 (5ep) | barr=0.40 elev=0.04 rlock=0.30
Iter 44 | Steps 90112 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.754  hid=0.88 (5ep) | seeker=-0.715  hid=0.86 (5ep) | barr=0.10 elev=0.05 rlock=0.00
Iter 45 | Steps 92160 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.746  hid=0.87 (5ep) | seeker=-0.674  hid=0.84 (5ep) | barr=0.20 elev=0.09 rlock=0.00
Iter 46 | Steps 94208 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.926  hid=0.96 (5ep) | seeker=-0.489  hid=0.74 (5ep) | barr=0.30 elev=0.05 rlock=0.10
Iter 47 | Steps 96256 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.344  hid=0.67 (5ep) | seeker=-0.644  hid=0.82 (5ep) | barr=0.10 elev=0.09 rlock=0.20
Iter 48 | Steps 98304 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.728  hid=0.86 (5ep) | seeker=-0.430  hid=0.71 (5ep) | barr=0.10 elev=0.02 rlock=0.10
Iter 49 | Steps 100352 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+1.000* hid=1.00 (5ep) | seeker=-0.754  hid=0.88 (5ep) | barr=0.10 elev=0.08 rlock=0.00
Iter 50 | Steps 102400 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.998  hid=1.00 (5ep) | seeker=-0.920  hid=0.96 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 51 | Steps 104448 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.954  hid=0.98 (5ep) | seeker=-0.804  hid=0.90 (5ep) | barr=0.20 elev=0.06 rlock=0.10
Iter 52 | Steps 106496 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.456  hid=0.73 (5ep) | seeker=-0.374  hid=0.69 (5ep) | barr=0.10 elev=0.01 rlock=0.30
Iter 53 | Steps 108544 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.969  hid=0.98 (5ep) | seeker=-0.872  hid=0.94 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 54 | Steps 110592 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.865  hid=0.93 (5ep) | seeker=-0.685  hid=0.84 (5ep) | barr=0.40 elev=0.02 rlock=0.00
Iter 55 | Steps 112640 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.809  hid=0.90 (5ep) | seeker=-0.837  hid=0.92 (5ep) | barr=0.20 elev=0.07 rlock=0.00
Iter 56 | Steps 114688 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.709  hid=0.85 (5ep) | seeker=-0.691  hid=0.85 (5ep) | barr=0.20 elev=0.05 rlock=0.00
Iter 57 | Steps 116736 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.765  hid=0.88 (5ep) | seeker=-0.722  hid=0.86 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 58 | Steps 118784 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.672  hid=0.84 (5ep) | seeker=-0.839  hid=0.92 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 59 | Steps 120832 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.896  hid=0.95 (5ep) | seeker=-0.704  hid=0.85 (5ep) | barr=0.20 elev=0.03 rlock=0.00
Iter 60 | Steps 122880 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.772  hid=0.89 (5ep) | seeker=-0.898  hid=0.95 (5ep) | barr=0.10 elev=0.05 rlock=0.00
Iter 61 | Steps 124928 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.970  hid=0.99 (5ep) | barr=0.20 elev=0.00 rlock=0.20
Iter 62 | Steps 126976 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.430  hid=0.71 (5ep) | seeker=-0.935  hid=0.97 (5ep) | barr=0.30 elev=0.06 rlock=0.00
Iter 63 | Steps 129024 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.980  hid=0.99 (5ep) | seeker=-0.707  hid=0.85 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 64 | Steps 131072 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.906  hid=0.95 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.40 elev=0.02 rlock=0.10
Iter 65 | Steps 133120 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.898  hid=0.95 (5ep) | barr=0.10 elev=0.01 rlock=0.00
Iter 66 | Steps 135168 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=-0.007  hid=0.50 (5ep) | seeker=-0.235  hid=0.62 (5ep) | barr=0.10 elev=0.11 rlock=0.40
Iter 67 | Steps 137216 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.793  hid=0.90 (5ep) | seeker=-0.741  hid=0.87 (5ep) | barr=0.00 elev=0.06 rlock=0.10
Iter 68 | Steps 139264 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.113  hid=0.56 (5ep) | seeker=-0.994  hid=1.00 (5ep) | barr=0.20 elev=0.04 rlock=0.10
Iter 69 | Steps 141312 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+0.496  hid=0.75 (5ep) | seeker=-0.889  hid=0.94 (5ep) | barr=0.10 elev=0.07 rlock=0.20
Iter 70 | Steps 143360 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.120  hid=0.56 (5ep) | seeker=-0.800  hid=0.90 (5ep) | barr=0.20 elev=0.16 rlock=0.20
Iter 71 | Steps 145408 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+0.665  hid=0.83 (5ep) | seeker=-0.102  hid=0.55 (5ep) | barr=0.00 elev=0.03 rlock=0.20
Iter 72 | Steps 147456 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.830  hid=0.91 (5ep) | seeker=-0.339  hid=0.67 (5ep) | barr=0.20 elev=0.07 rlock=0.10
Iter 73 | Steps 149504 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.996  hid=1.00 (5ep) | seeker=-0.839  hid=0.92 (5ep) | barr=0.00 elev=0.00 rlock=0.00
