[arc] layout=roomt seeker_speed=1.4x DOOR_Y=148.0 FAR_Y=105.0 | 10 envs x 800 = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[arc] warm-started hider from hs_roomt_hider.pt
[arc] warm-started seeker from hs_lstm_seeker.pt
Iter 66 | Steps 528000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.736  hid=0.87 (20ep) | seeker=-0.764  hid=0.88 (20ep) | barr=0.53 elev=0.10 rlock=0.05
Iter 67 | Steps 536000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.917  hid=0.96 (20ep) | seeker=-0.925  hid=0.96 (20ep) | barr=0.60 elev=0.04 rlock=0.00
Iter 68 | Steps 544000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.907  hid=0.95 (20ep) | seeker=-0.889  hid=0.94 (20ep) | barr=0.53 elev=0.06 rlock=0.05
Iter 69 | Steps 552000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.875  hid=0.94 (20ep) | seeker=-0.831  hid=0.92 (20ep) | barr=0.60 elev=0.05 rlock=0.03
Iter 70 | Steps 560000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.926  hid=0.96 (20ep) | seeker=-0.867  hid=0.93 (20ep) | barr=0.55 elev=0.03 rlock=0.05
Iter 71 | Steps 568000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.62 | hider=+0.755  hid=0.88 (20ep) | seeker=-0.724  hid=0.86 (20ep) | barr=0.33 elev=0.08 rlock=0.05
Iter 72 | Steps 576000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.62 | hider=+0.532  hid=0.77 (20ep) | seeker=-0.840  hid=0.92 (20ep) | barr=0.50 elev=0.13 rlock=0.05
Iter 73 | Steps 584000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.921  hid=0.96 (20ep) | seeker=-0.745  hid=0.87 (20ep) | barr=0.70 elev=0.08 rlock=0.05
Iter 74 | Steps 592000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.916  hid=0.96 (20ep) | seeker=-0.894  hid=0.95 (20ep) | barr=0.62 elev=0.06 rlock=0.05
Iter 75 | Steps 600000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.907  hid=0.95 (20ep) | seeker=-0.837  hid=0.92 (20ep) | barr=0.45 elev=0.04 rlock=0.07
Iter 76 | Steps 608000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.819  hid=0.91 (20ep) | seeker=-0.849  hid=0.92 (20ep) | barr=0.62 elev=0.05 rlock=0.07
Iter 77 | Steps 616000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.826  hid=0.91 (20ep) | seeker=-0.763  hid=0.88 (20ep) | barr=0.53 elev=0.07 rlock=0.05
Iter 78 | Steps 624000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.936  hid=0.97 (20ep) | seeker=-0.849  hid=0.92 (20ep) | barr=0.60 elev=0.07 rlock=0.05
Iter 79 | Steps 632000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.824  hid=0.91 (20ep) | seeker=-0.783  hid=0.89 (20ep) | barr=0.47 elev=0.08 rlock=0.07
Iter 80 | Steps 640000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.856  hid=0.93 (20ep) | seeker=-0.846  hid=0.92 (20ep) | barr=0.47 elev=0.04 rlock=0.03
Iter 81 | Steps 648000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.543  hid=0.77 (20ep) | seeker=-0.910  hid=0.95 (20ep) | barr=0.53 elev=0.12 rlock=0.03
Iter 82 | Steps 656000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.753  hid=0.88 (20ep) | seeker=-0.603  hid=0.80 (20ep) | barr=0.55 elev=0.14 rlock=0.12
Iter 83 | Steps 664000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.861  hid=0.93 (20ep) | seeker=-0.930  hid=0.96 (20ep) | barr=0.53 elev=0.03 rlock=0.12
Iter 84 | Steps 672000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.846  hid=0.92 (20ep) | seeker=-0.729  hid=0.86 (20ep) | barr=0.33 elev=0.06 rlock=0.03
Iter 85 | Steps 680000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.713  hid=0.86 (20ep) | seeker=-0.700  hid=0.85 (20ep) | barr=0.53 elev=0.07 rlock=0.07
Iter 86 | Steps 688000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.796  hid=0.90 (20ep) | seeker=-0.684  hid=0.84 (20ep) | barr=0.60 elev=0.08 rlock=0.05
Iter 87 | Steps 696000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.819  hid=0.91 (20ep) | seeker=-0.793  hid=0.90 (20ep) | barr=0.42 elev=0.09 rlock=0.03
Iter 88 | Steps 704000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.694  hid=0.85 (20ep) | seeker=-0.864  hid=0.93 (20ep) | barr=0.53 elev=0.05 rlock=0.10
Iter 89 | Steps 712000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.713  hid=0.86 (20ep) | seeker=-0.830  hid=0.92 (20ep) | barr=0.45 elev=0.07 rlock=0.07
Iter 90 | Steps 720000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.977  hid=0.99 (20ep) | seeker=-0.850  hid=0.93 (20ep) | barr=0.53 elev=0.04 rlock=0.10
Iter 91 | Steps 728000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.855  hid=0.93 (20ep) | seeker=-0.788  hid=0.89 (20ep) | barr=0.60 elev=0.06 rlock=0.07
Iter 92 | Steps 736000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.754  hid=0.88 (20ep) | seeker=-0.675  hid=0.84 (20ep) | barr=0.53 elev=0.09 rlock=0.07
Iter 93 | Steps 744000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.931  hid=0.97 (20ep) | seeker=-0.789  hid=0.89 (20ep) | barr=0.60 elev=0.06 rlock=0.03
Iter 94 | Steps 752000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.813  hid=0.91 (20ep) | seeker=-0.884  hid=0.94 (20ep) | barr=0.47 elev=0.03 rlock=0.05
Iter 95 | Steps 760000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.775  hid=0.89 (20ep) | seeker=-0.857  hid=0.93 (20ep) | barr=0.38 elev=0.08 rlock=0.03
Iter 96 | Steps 768000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.904  hid=0.95 (20ep) | seeker=-0.888  hid=0.94 (20ep) | barr=0.42 elev=0.03 rlock=0.07
Iter 97 | Steps 776000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.64 | hider=+0.958  hid=0.98 (20ep) | seeker=-0.901  hid=0.95 (20ep) | barr=0.68 elev=0.05 rlock=0.03
