[train_hs] layout=open saving to hs_open_*.pt
Iter 106 | Steps 217088 | Pools h=10 s=10 | hider=-0.509  hid=0.25 (8ep) | seeker=+0.023  hid=0.49 (8ep)
Iter 107 | Steps 219136 | Pools h=10 s=10 | hider=-0.023  hid=0.49 (8ep) | seeker=+0.422  hid=0.29 (8ep)
Iter 108 | Steps 221184 | Pools h=10 s=10 | hider=-0.521  hid=0.24 (8ep) | seeker=+0.191  hid=0.40 (8ep)
Iter 109 | Steps 223232 | Pools h=10 s=10 | hider=+0.071  hid=0.54 (8ep) | seeker=+0.276  hid=0.36 (8ep)
Iter 110 | Steps 225280 | Pools h=10 s=10 | hider=-0.128  hid=0.44 (8ep) | seeker=+0.698  hid=0.15 (8ep)
Iter 111 | Steps 227328 | Pools h=10 s=10 | hider=-0.089  hid=0.46 (8ep) | seeker=+0.165  hid=0.42 (8ep)
Iter 112 | Steps 229376 | Pools h=10 s=10 | hider=-0.352  hid=0.32 (8ep) | seeker=+0.062  hid=0.47 (8ep)
Iter 113 | Steps 231424 | Pools h=10 s=10 | hider=-0.549  hid=0.23 (8ep) | seeker=+0.391  hid=0.30 (8ep)
Iter 114 | Steps 233472 | Pools h=10 s=10 | hider=-0.078  hid=0.46 (8ep) | seeker=+0.273  hid=0.36 (8ep)
Iter 115 | Steps 235520 | Pools h=10 s=10 | hider=-0.479  hid=0.26 (8ep) | seeker=+0.222  hid=0.39 (8ep)
Iter 116 | Steps 237568 | Pools h=10 s=10 | hider=-0.220  hid=0.39 (8ep) | seeker=+0.566  hid=0.22 (8ep)
Iter 117 | Steps 239616 | Pools h=10 s=10 | hider=-0.337  hid=0.33 (8ep) | seeker=+0.444  hid=0.28 (8ep)
Iter 118 | Steps 241664 | Pools h=10 s=10 | hider=-0.497  hid=0.25 (8ep) | seeker=+0.556  hid=0.22 (8ep)
Iter 119 | Steps 243712 | Pools h=10 s=10 | hider=-0.297  hid=0.35 (8ep) | seeker=+0.403  hid=0.30 (8ep)
Iter 120 | Steps 245760 | Pools h=10 s=10 | hider=-0.576  hid=0.21 (8ep) | seeker=+0.340  hid=0.33 (8ep)
Iter 121 | Steps 247808 | Pools h=10 s=10 | hider=-0.366  hid=0.32 (8ep) | seeker=+0.247  hid=0.38 (8ep)
Iter 122 | Steps 249856 | Pools h=10 s=10 | hider=-0.104  hid=0.45 (8ep) | seeker=+0.359  hid=0.32 (8ep)
Iter 123 | Steps 251904 | Pools h=10 s=10 | hider=-0.240  hid=0.38 (8ep) | seeker=+0.247  hid=0.38 (8ep)
Iter 124 | Steps 253952 | Pools h=10 s=10 | hider=-0.342  hid=0.33 (8ep) | seeker=+0.283  hid=0.36 (8ep)
Iter 125 | Steps 256000 | Pools h=10 s=10 | hider=-0.274  hid=0.36 (8ep) | seeker=-0.090  hid=0.55 (8ep)
Iter 126 | Steps 258048 | Pools h=10 s=10 | hider=-0.401  hid=0.30 (8ep) | seeker=+0.241  hid=0.38 (8ep)
Iter 127 | Steps 260096 | Pools h=10 s=10 | hider=-0.462  hid=0.27 (8ep) | seeker=+0.073  hid=0.46 (8ep)
Iter 128 | Steps 262144 | Pools h=10 s=10 | hider=-0.523  hid=0.24 (8ep) | seeker=+0.351  hid=0.32 (8ep)
Iter 129 | Steps 264192 | Pools h=10 s=10 | hider=-0.285  hid=0.36 (8ep) | seeker=+0.413  hid=0.29 (8ep)
Iter 130 | Steps 266240 | Pools h=10 s=10 | hider=-0.306  hid=0.35 (8ep) | seeker=+0.568  hid=0.22 (8ep)
Iter 131 | Steps 268288 | Pools h=10 s=10 | hider=-0.200  hid=0.40 (8ep) | seeker=+0.686  hid=0.16 (8ep)
Iter 132 | Steps 270336 | Pools h=10 s=10 | hider=-0.174  hid=0.41 (8ep) | seeker=+0.674  hid=0.16 (8ep)
Iter 133 | Steps 272384 | Pools h=10 s=10 | hider=-0.250  hid=0.38 (8ep) | seeker=+0.595  hid=0.20 (8ep)
Iter 134 | Steps 274432 | Pools h=10 s=10 | hider=-0.351  hid=0.32 (8ep) | seeker=+0.125  hid=0.44 (8ep)
Iter 135 | Steps 276480 | Pools h=10 s=10 | hider=-0.316  hid=0.34 (8ep) | seeker=+0.394  hid=0.30 (8ep)
Iter 136 | Steps 278528 | Pools h=10 s=10 | hider=-0.578  hid=0.21 (8ep) | seeker=+0.094  hid=0.45 (8ep)
Iter 137 | Steps 280576 | Pools h=10 s=10 | hider=-0.297  hid=0.35 (8ep) | seeker=+0.163  hid=0.42 (8ep)
Iter 138 | Steps 282624 | Pools h=10 s=10 | hider=+0.094  hid=0.55 (8ep) | seeker=+0.321  hid=0.34 (8ep)
Iter 139 | Steps 284672 | Pools h=10 s=10 | hider=-0.670  hid=0.16 (8ep) | seeker=+0.227  hid=0.39 (8ep)
Iter 140 | Steps 286720 | Pools h=10 s=10 | hider=-0.177  hid=0.41 (8ep) | seeker=+0.510  hid=0.24 (8ep)
Iter 141 | Steps 288768 | Pools h=10 s=10 | hider=-0.076  hid=0.46 (8ep) | seeker=+0.286  hid=0.36 (8ep)
Iter 142 | Steps 290816 | Pools h=10 s=10 | hider=-0.102  hid=0.45 (8ep) | seeker=+0.016  hid=0.49 (8ep)
Iter 143 | Steps 292864 | Pools h=10 s=10 | hider=-0.255  hid=0.37 (8ep) | seeker=+0.142  hid=0.43 (8ep)
Iter 144 | Steps 294912 | Pools h=10 s=10 | hider=-0.366  hid=0.32 (8ep) | seeker=-0.229  hid=0.61 (8ep)
Iter 145 | Steps 296960 | Pools h=10 s=10 | hider=-0.210  hid=0.39 (8ep) | seeker=+0.401  hid=0.30 (8ep)
Iter 146 | Steps 299008 | Pools h=10 s=10 | hider=+0.149  hid=0.57 (8ep) | seeker=+0.210  hid=0.39 (8ep)
Iter 147 | Steps 301056 | Pools h=10 s=10 | hider=-0.201  hid=0.40 (8ep) | seeker=+0.448  hid=0.28 (8ep)
Iter 148 | Steps 303104 | Pools h=10 s=10 | hider=-0.356  hid=0.32 (8ep) | seeker=+0.255  hid=0.37 (8ep)
Iter 149 | Steps 305152 | Pools h=10 s=10 | hider=-0.564  hid=0.22 (8ep) | seeker=-0.200  hid=0.60 (8ep)
Iter 150 | Steps 307200 | Pools h=10 s=10 | hider=-0.444  hid=0.28 (8ep) | seeker=+0.135  hid=0.43 (8ep)
Iter 151 | Steps 309248 | Pools h=10 s=10 | hider=-0.101  hid=0.45 (8ep) | seeker=+0.257  hid=0.37 (8ep)
Iter 152 | Steps 311296 | Pools h=10 s=10 | hider=-0.526  hid=0.24 (8ep) | seeker=+0.172  hid=0.41 (8ep)
Iter 153 | Steps 313344 | Pools h=10 s=10 | hider=-0.363  hid=0.32 (8ep) | seeker=+0.312  hid=0.34 (8ep)
Iter 154 | Steps 315392 | Pools h=10 s=10 | hider=-0.590  hid=0.20 (8ep) | seeker=+0.271  hid=0.36 (8ep)
Iter 155 | Steps 317440 | Pools h=10 s=10 | hider=-0.269  hid=0.37 (8ep) | seeker=+0.163  hid=0.42 (8ep)
Iter 156 | Steps 319488 | Pools h=10 s=10 | hider=-0.222  hid=0.39 (8ep) | seeker=+0.773* hid=0.11 (8ep)
Iter 157 | Steps 321536 | Pools h=11 s=11 | hider=+0.078  hid=0.54 (8ep) | seeker=+0.528  hid=0.24 (8ep)
Iter 158 | Steps 323584 | Pools h=11 s=11 | hider=+0.024  hid=0.51 (8ep) | seeker=+0.328  hid=0.34 (8ep)
Iter 159 | Steps 325632 | Pools h=11 s=11 | hider=-0.556  hid=0.22 (8ep) | seeker=+0.495  hid=0.25 (8ep)
Iter 160 | Steps 327680 | Pools h=11 s=11 | hider=-0.472  hid=0.26 (8ep) | seeker=+0.731  hid=0.13 (8ep)
Iter 161 | Steps 329728 | Pools h=11 s=11 | hider=-0.405  hid=0.30 (8ep) | seeker=+0.509  hid=0.25 (8ep)
Iter 162 | Steps 331776 | Pools h=11 s=11 | hider=-0.016  hid=0.49 (8ep) | seeker=+0.200  hid=0.40 (8ep)
Iter 163 | Steps 333824 | Pools h=11 s=11 | hider=-0.543  hid=0.23 (8ep) | seeker=+0.259  hid=0.37 (8ep)
Iter 164 | Steps 335872 | Pools h=11 s=11 | hider=-0.135  hid=0.43 (8ep) | seeker=+0.370  hid=0.32 (8ep)
Iter 165 | Steps 337920 | Pools h=11 s=11 | hider=-0.240  hid=0.38 (8ep) | seeker=+0.646  hid=0.18 (8ep)
Iter 166 | Steps 339968 | Pools h=11 s=11 | hider=-0.392  hid=0.30 (8ep) | seeker=+0.632  hid=0.18 (8ep)
Iter 167 | Steps 342016 | Pools h=11 s=11 | hider=-0.286  hid=0.36 (8ep) | seeker=+0.238  hid=0.38 (8ep)
Iter 168 | Steps 344064 | Pools h=11 s=11 | hider=+0.035  hid=0.52 (8ep) | seeker=+0.453  hid=0.27 (8ep)
Iter 169 | Steps 346112 | Pools h=11 s=11 | hider=-0.361  hid=0.32 (8ep) | seeker=+0.104  hid=0.45 (8ep)
Iter 170 | Steps 348160 | Pools h=11 s=11 | hider=-0.208  hid=0.40 (8ep) | seeker=+0.201  hid=0.40 (8ep)
Iter 171 | Steps 350208 | Pools h=11 s=11 | hider=-0.361  hid=0.32 (8ep) | seeker=-0.118  hid=0.56 (8ep)
Iter 172 | Steps 352256 | Pools h=11 s=11 | hider=-0.288  hid=0.36 (8ep) | seeker=+0.108  hid=0.45 (8ep)
Iter 173 | Steps 354304 | Pools h=11 s=11 | hider=-0.148  hid=0.43 (8ep) | seeker=+0.290  hid=0.36 (8ep)
Iter 174 | Steps 356352 | Pools h=11 s=11 | hider=-0.543  hid=0.23 (8ep) | seeker=+0.437  hid=0.28 (8ep)
Iter 175 | Steps 358400 | Pools h=11 s=11 | hider=-0.333  hid=0.33 (8ep) | seeker=+0.514  hid=0.24 (8ep)
Iter 176 | Steps 360448 | Pools h=11 s=11 | hider=-0.187  hid=0.41 (8ep) | seeker=+0.311  hid=0.34 (8ep)
Iter 177 | Steps 362496 | Pools h=11 s=11 | hider=-0.205  hid=0.40 (8ep) | seeker=+0.356  hid=0.32 (8ep)
Iter 178 | Steps 364544 | Pools h=11 s=11 | hider=-0.731  hid=0.13 (8ep) | seeker=+0.398  hid=0.30 (8ep)
Iter 179 | Steps 366592 | Pools h=11 s=11 | hider=-0.321  hid=0.34 (8ep) | seeker=+0.073  hid=0.46 (8ep)
Iter 180 | Steps 368640 | Pools h=11 s=11 | hider=-0.257  hid=0.37 (8ep) | seeker=+0.127  hid=0.44 (8ep)
Iter 181 | Steps 370688 | Pools h=11 s=11 | hider=-0.476  hid=0.26 (8ep) | seeker=+0.116  hid=0.44 (8ep)
Iter 182 | Steps 372736 | Pools h=11 s=11 | hider=-0.210  hid=0.39 (8ep) | seeker=+0.181  hid=0.41 (8ep)
Iter 183 | Steps 374784 | Pools h=11 s=11 | hider=-0.144  hid=0.43 (8ep) | seeker=+0.306  hid=0.35 (8ep)
Iter 184 | Steps 376832 | Pools h=11 s=11 | hider=-0.325  hid=0.34 (8ep) | seeker=+0.198  hid=0.40 (8ep)
Iter 185 | Steps 378880 | Pools h=11 s=11 | hider=+0.019  hid=0.51 (8ep) | seeker=+0.491  hid=0.25 (8ep)
Iter 186 | Steps 380928 | Pools h=11 s=11 | hider=-0.467  hid=0.27 (8ep) | seeker=+0.104  hid=0.45 (8ep)
Iter 187 | Steps 382976 | Pools h=11 s=11 | hider=-0.321  hid=0.34 (8ep) | seeker=+0.273  hid=0.36 (8ep)
Iter 188 | Steps 385024 | Pools h=11 s=11 | hider=-0.288  hid=0.36 (8ep) | seeker=+0.380  hid=0.31 (8ep)
Iter 189 | Steps 387072 | Pools h=11 s=11 | hider=-0.290  hid=0.36 (8ep) | seeker=+0.293  hid=0.35 (8ep)
Iter 190 | Steps 389120 | Pools h=11 s=11 | hider=-0.158  hid=0.42 (8ep) | seeker=+0.271  hid=0.36 (8ep)
Iter 191 | Steps 391168 | Pools h=11 s=11 | hider=-0.181  hid=0.41 (8ep) | seeker=+0.158  hid=0.42 (8ep)
Iter 192 | Steps 393216 | Pools h=11 s=11 | hider=-0.361  hid=0.32 (8ep) | seeker=+0.316  hid=0.34 (8ep)
Iter 193 | Steps 395264 | Pools h=11 s=11 | hider=-0.405  hid=0.30 (8ep) | seeker=+0.512  hid=0.24 (8ep)
Iter 194 | Steps 397312 | Pools h=11 s=11 | hider=-0.585  hid=0.21 (8ep) | seeker=+0.415  hid=0.29 (8ep)
Iter 195 | Steps 399360 | Pools h=11 s=11 | hider=-0.531  hid=0.23 (8ep) | seeker=+0.203  hid=0.40 (8ep)
Iter 196 | Steps 401408 | Pools h=11 s=11 | hider=-0.217  hid=0.39 (8ep) | seeker=+0.281  hid=0.36 (8ep)
Iter 197 | Steps 403456 | Pools h=11 s=11 | hider=-0.222  hid=0.39 (8ep) | seeker=+0.318  hid=0.34 (8ep)
Iter 198 | Steps 405504 | Pools h=11 s=11 | hider=-0.403  hid=0.30 (8ep) | seeker=+0.354  hid=0.32 (8ep)
Iter 199 | Steps 407552 | Pools h=11 s=11 | hider=-0.135  hid=0.43 (8ep) | seeker=+0.073  hid=0.46 (8ep)
