[train_hs2] 2v2 layout=open boxes=6 obs=55 steps=10000000 saving to hs_2v2_*.pt
Iter 88 | Steps 180224 | Pools h=8 s=8 | hider=-0.818  hid=0.09 (8ep) | seeker=+0.929  hid=0.04 (8ep)
Iter 89 | Steps 182272 | Pools h=8 s=8 | hider=-0.957  hid=0.02 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 90 | Steps 184320 | Pools h=8 s=8 | hider=-0.679  hid=0.16 (8ep) | seeker=+0.941  hid=0.03 (8ep)
Iter 91 | Steps 186368 | Pools h=8 s=8 | hider=-0.948  hid=0.03 (8ep) | seeker=+0.958  hid=0.02 (8ep)
Iter 92 | Steps 188416 | Pools h=8 s=8 | hider=-0.687  hid=0.16 (8ep) | seeker=+0.950  hid=0.03 (8ep)
Iter 93 | Steps 190464 | Pools h=8 s=8 | hider=-0.783  hid=0.11 (8ep) | seeker=+0.748  hid=0.13 (8ep)
Iter 94 | Steps 192512 | Pools h=8 s=8 | hider=-0.745  hid=0.13 (8ep) | seeker=+0.929  hid=0.04 (8ep)
Iter 95 | Steps 194560 | Pools h=8 s=8 | hider=-0.818  hid=0.09 (8ep) | seeker=+0.915  hid=0.04 (8ep)
Iter 96 | Steps 196608 | Pools h=8 s=8 | hider=-0.991  hid=0.00 (8ep) | seeker=+0.880  hid=0.06 (8ep)
Iter 97 | Steps 198656 | Pools h=8 s=8 | hider=-0.635  hid=0.18 (8ep) | seeker=+0.759  hid=0.12 (8ep)
Iter 98 | Steps 200704 | Pools h=8 s=8 | hider=-0.830  hid=0.09 (8ep) | seeker=+0.983  hid=0.01 (8ep)
Iter 99 | Steps 202752 | Pools h=8 s=8 | hider=-0.988  hid=0.01 (8ep) | seeker=+0.847  hid=0.08 (8ep)
Iter 100 | Steps 204800 | Pools h=8 s=8 | hider=-0.865  hid=0.07 (8ep) | seeker=+0.899  hid=0.05 (8ep)
Iter 101 | Steps 206848 | Pools h=8 s=8 | hider=-0.863  hid=0.07 (8ep) | seeker=+0.839  hid=0.08 (8ep)
Iter 102 | Steps 208896 | Pools h=8 s=8 | hider=-0.818  hid=0.09 (8ep) | seeker=+0.797  hid=0.10 (8ep)
Iter 103 | Steps 210944 | Pools h=8 s=8 | hider=-0.950  hid=0.03 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 104 | Steps 212992 | Pools h=8 s=8 | hider=-0.896  hid=0.05 (8ep) | seeker=+0.931  hid=0.03 (8ep)
Iter 105 | Steps 215040 | Pools h=8 s=8 | hider=-0.875  hid=0.06 (8ep) | seeker=+0.863  hid=0.07 (8ep)
Iter 106 | Steps 217088 | Pools h=8 s=8 | hider=-0.767  hid=0.12 (8ep) | seeker=+0.766  hid=0.12 (8ep)
Iter 107 | Steps 219136 | Pools h=8 s=8 | hider=-0.899  hid=0.05 (8ep) | seeker=+0.908  hid=0.05 (8ep)
Iter 108 | Steps 221184 | Pools h=8 s=8 | hider=-0.811  hid=0.09 (8ep) | seeker=+0.863  hid=0.07 (8ep)
Iter 109 | Steps 223232 | Pools h=8 s=8 | hider=-0.861  hid=0.07 (8ep) | seeker=+0.724  hid=0.14 (8ep)
Iter 110 | Steps 225280 | Pools h=8 s=8 | hider=-0.799  hid=0.10 (8ep) | seeker=+0.960  hid=0.02 (8ep)
Iter 111 | Steps 227328 | Pools h=8 s=8 | hider=-0.609  hid=0.20 (8ep) | seeker=+0.877  hid=0.06 (8ep)
Iter 112 | Steps 229376 | Pools h=8 s=8 | hider=-0.967  hid=0.02 (8ep) | seeker=+0.800  hid=0.10 (8ep)
Iter 113 | Steps 231424 | Pools h=8 s=8 | hider=-0.821  hid=0.09 (8ep) | seeker=+0.995  hid=0.00 (8ep)
Iter 114 | Steps 233472 | Pools h=8 s=8 | hider=-0.684  hid=0.16 (8ep) | seeker=+0.760  hid=0.12 (8ep)
