Steps: 311296 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 313344 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 315392 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 317440 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 319488 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 321536 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 323584 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 325632 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 327680 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 329728 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 331776 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 333824 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 335872 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 337920 | Eps: 14 | hider=   +1.4  | seeker=   -1.4*
Steps: 339968 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 342016 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 344064 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 346112 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 348160 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 350208 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 352256 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 354304 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 356352 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 358400 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 360448 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 362496 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 364544 | Eps: 11 | hider=   +2.1  | seeker=   -2.1 
Steps: 366592 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 368640 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 370688 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 372736 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 374784 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 376832 | Eps: 12 | hider=   +1.5  | seeker=   -1.5 
Steps: 378880 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 380928 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 382976 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 385024 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 387072 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 389120 | Eps: 12 | hider=   +1.5  | seeker=   -1.5 
Steps: 391168 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 393216 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 395264 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 397312 | Eps: 14 | hider=   +1.4  | seeker=   -1.4*
Steps: 399360 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 401408 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 403456 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 405504 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 407552 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 409600 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 411648 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 413696 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 415744 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 417792 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 419840 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 421888 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 423936 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 425984 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 428032 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 430080 | Eps: 14 | hider=   +1.5  | seeker=   -1.5 
Steps: 432128 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 434176 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 436224 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 438272 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 440320 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 442368 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 444416 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 446464 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 448512 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 450560 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 452608 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 454656 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 456704 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 458752 | Eps: 12 | hider=   +1.5  | seeker=   -1.5 
Steps: 460800 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 462848 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 464896 | Eps: 13 | hider=   +1.5  | seeker=   -1.5 
Steps: 466944 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 468992 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 471040 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 473088 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 475136 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 477184 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 479232 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 481280 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 483328 | Eps: 9 | hider=   +2.0  | seeker=   -2.0 
Steps: 485376 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 487424 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 489472 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 491520 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 493568 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 495616 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 497664 | Eps: 13 | hider=   +1.5  | seeker=   -1.5 
Steps: 499712 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 501760 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 503808 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 505856 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 507904 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 509952 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 512000 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 514048 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 516096 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 518144 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 520192 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 522240 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 524288 | Eps: 17 | hider=   +1.2  | seeker=   -1.2*
Steps: 526336 | Eps: 15 | hider=   +1.4  | seeker=   -1.4 
Steps: 528384 | Eps: 10 | hider=   +1.8  | seeker=   -1.8 
Steps: 530432 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 532480 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 534528 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 536576 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 538624 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 540672 | Eps: 15 | hider=   +1.4  | seeker=   -1.4 
Steps: 542720 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 544768 | Eps: 14 | hider=   +1.4  | seeker=   -1.4 
Steps: 546816 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 548864 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 550912 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 552960 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 555008 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 557056 | Eps: 13 | hider=   +1.5  | seeker=   -1.5 
Steps: 559104 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 561152 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 563200 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 565248 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 567296 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 569344 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 571392 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 573440 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 575488 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 577536 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 579584 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 581632 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 583680 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 585728 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 587776 | Eps: 9 | hider=   +2.0  | seeker=   -2.0 
Steps: 589824 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 591872 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 593920 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 595968 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 598016 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
