[train_hs7] room+ramp 1v1 obs=28 steps=12000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=128)
[train_hs7] best-response mode: training hider only, opponent fixed
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 52 | Steps 106496 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.889  hid=0.94 (5ep) | barr=0.00 elev=0.05 rlock=0.20
Iter 53 | Steps 108544 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.161  hid=0.58 (5ep) | barr=0.40 elev=0.05 rlock=0.00
Iter 54 | Steps 110592 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.580  hid=0.79 (5ep) | barr=0.00 elev=0.20 rlock=0.00
Iter 55 | Steps 112640 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.600  hid=0.80 (5ep) | barr=0.00 elev=0.19 rlock=0.20
Iter 56 | Steps 114688 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.939  hid=0.97 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 57 | Steps 116736 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.537  hid=0.77 (5ep) | barr=0.40 elev=0.00 rlock=0.00
Iter 58 | Steps 118784 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.920  hid=0.96 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 59 | Steps 120832 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.876  hid=0.94 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 60 | Steps 122880 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.235  hid=0.62 (5ep) | barr=0.20 elev=0.20 rlock=0.20
Iter 61 | Steps 124928 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.924  hid=0.96 (5ep) | barr=0.00 elev=0.00 rlock=0.20
Iter 62 | Steps 126976 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.537  hid=0.77 (5ep) | barr=0.20 elev=0.20 rlock=0.20
Iter 63 | Steps 129024 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=-0.106  hid=0.45 (5ep) | barr=0.20 elev=0.40 rlock=0.20
Iter 64 | Steps 131072 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.291  hid=0.65 (5ep) | barr=0.00 elev=0.09 rlock=0.20
Iter 65 | Steps 133120 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.976  hid=0.99 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 66 | Steps 135168 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.830  hid=0.91 (5ep) | barr=0.40 elev=0.03 rlock=0.00
Iter 67 | Steps 137216 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.844  hid=0.92 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 68 | Steps 139264 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.887  hid=0.94 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 69 | Steps 141312 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.900  hid=0.95 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 70 | Steps 143360 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.780  hid=0.89 (5ep) | barr=0.20 elev=0.03 rlock=0.20
Iter 71 | Steps 145408 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.531  hid=0.77 (5ep) | barr=0.20 elev=0.14 rlock=0.20
Iter 72 | Steps 147456 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+1.000  hid=1.00 (5ep) | barr=0.00 elev=0.04 rlock=0.20
Iter 73 | Steps 149504 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.180  hid=0.59 (5ep) | barr=0.40 elev=0.19 rlock=0.00
