[train_hs7_lstm] 1v2 room+ramp LSTM obs=33 steps=40000000 s2=6000000-12000000 hidden=256 rollout=8192 -> hs_lstm_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm.py:191: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 57 | Steps 466944 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.888  hid=0.94 (22ep) | seeker=-0.901  hid=0.95 (22ep) | barr=0.09 elev=0.11 rlock=0.02
Iter 58 | Steps 475136 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.769  hid=0.88 (22ep) | seeker=-0.732  hid=0.87 (22ep) | barr=0.14 elev=0.07 rlock=0.07
Iter 59 | Steps 483328 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.805  hid=0.90 (22ep) | seeker=-0.864  hid=0.93 (22ep) | barr=0.14 elev=0.12 rlock=0.02
Iter 60 | Steps 491520 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.704  hid=0.85 (22ep) | seeker=-0.814  hid=0.91 (22ep) | barr=0.09 elev=0.14 rlock=0.05
Iter 61 | Steps 499712 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.842  hid=0.92 (22ep) | seeker=-0.891  hid=0.95 (22ep) | barr=0.18 elev=0.09 rlock=0.02
Iter 62 | Steps 507904 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.843  hid=0.92 (22ep) | seeker=-0.731  hid=0.87 (22ep) | barr=0.11 elev=0.08 rlock=0.09
Iter 63 | Steps 516096 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.97 | hider=+0.813  hid=0.91 (22ep) | seeker=-0.695  hid=0.85 (22ep) | barr=0.11 elev=0.10 rlock=0.00
Iter 64 | Steps 524288 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.936  hid=0.97 (22ep) | seeker=-0.888  hid=0.94 (22ep) | barr=0.16 elev=0.09 rlock=0.02
Iter 65 | Steps 532480 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.903  hid=0.95 (22ep) | seeker=-0.723  hid=0.86 (22ep) | barr=0.18 elev=0.12 rlock=0.05
Iter 66 | Steps 540672 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.621  hid=0.81 (22ep) | seeker=-0.893  hid=0.95 (22ep) | barr=0.14 elev=0.15 rlock=0.11
Iter 67 | Steps 548864 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.812  hid=0.91 (22ep) | seeker=-0.651  hid=0.83 (22ep) | barr=0.16 elev=0.13 rlock=0.09
Iter 68 | Steps 557056 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.800  hid=0.90 (22ep) | seeker=-0.693  hid=0.85 (22ep) | barr=0.09 elev=0.14 rlock=0.07
Iter 69 | Steps 565248 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.707  hid=0.85 (22ep) | seeker=-0.739  hid=0.87 (22ep) | barr=0.18 elev=0.18 rlock=0.00
Iter 70 | Steps 573440 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.97 | hider=+0.569  hid=0.78 (22ep) | seeker=-0.835  hid=0.92 (22ep) | barr=0.11 elev=0.16 rlock=0.07
Iter 71 | Steps 581632 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.97 | hider=+0.684  hid=0.84 (22ep) | seeker=-0.621  hid=0.81 (22ep) | barr=0.09 elev=0.07 rlock=0.05
Iter 72 | Steps 589824 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.781  hid=0.89 (22ep) | seeker=-0.830  hid=0.91 (22ep) | barr=0.11 elev=0.09 rlock=0.09
