Iter 141 | Steps 288768 | Pools h=4 s=4 | hider=+2.204  (8ep) | seeker=-2.400  (8ep)
Iter 142 | Steps 290816 | Pools h=4 s=4 | hider=+2.176  (8ep) | seeker=-2.177  (8ep)
Iter 143 | Steps 292864 | Pools h=4 s=4 | hider=+2.140  (9ep) | seeker=-1.813  (9ep)
Iter 144 | Steps 294912 | Pools h=4 s=4 | hider=+1.557  (10ep) | seeker=-2.400  (8ep)
Iter 145 | Steps 296960 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.956  (9ep)
Iter 146 | Steps 299008 | Pools h=4 s=4 | hider=+1.991  (9ep) | seeker=-2.400  (8ep)
Iter 147 | Steps 301056 | Pools h=4 s=4 | hider=+1.988  (9ep) | seeker=-2.400  (8ep)
Iter 148 | Steps 303104 | Pools h=4 s=4 | hider=+1.451  (10ep) | seeker=-2.400  (8ep)
Iter 149 | Steps 305152 | Pools h=4 s=4 | hider=+1.992  (9ep) | seeker=-2.177  (8ep)
Iter 150 | Steps 307200 | Pools h=4 s=4 | hider=+1.909  (9ep) | seeker=-2.029  (8ep)
Iter 151 | Steps 309248 | Pools h=4 s=4 | hider=+1.687  (10ep) | seeker=-1.963  (9ep)
Iter 152 | Steps 311296 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.082  (9ep)
Iter 153 | Steps 313344 | Pools h=4 s=4 | hider=+2.164  (8ep) | seeker=-2.199  (8ep)
Iter 154 | Steps 315392 | Pools h=4 s=4 | hider=+1.953  (9ep) | seeker=-2.400  (8ep)
Iter 155 | Steps 317440 | Pools h=4 s=4 | hider=+1.903  (9ep) | seeker=-2.400  (8ep)
Iter 156 | Steps 319488 | Pools h=4 s=4 | hider=+1.929  (9ep) | seeker=-2.400  (8ep)
Iter 157 | Steps 321536 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.119  (9ep)
Iter 158 | Steps 323584 | Pools h=4 s=4 | hider=+2.047  (9ep) | seeker=-1.505  (10ep)
Iter 159 | Steps 325632 | Pools h=4 s=4 | hider=+2.118  (9ep) | seeker=-2.108  (9ep)
Iter 160 | Steps 327680 | Pools h=4 s=4 | hider=+1.838  (10ep) | seeker=-2.400  (8ep)
Iter 161 | Steps 329728 | Pools h=4 s=4 | hider=+2.139  (8ep) | seeker=-2.144  (9ep)
