[train_hs7] room+ramp 1v1 obs=28 steps=16000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] warm-started both nets from hs_ramp_*.pt
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 44 | Steps 90112 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.202  hid=0.60 (5ep) | seeker=-0.607  hid=0.80 (5ep) | barr=0.00 elev=0.09 rlock=0.00
Iter 45 | Steps 92160 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.907  hid=0.95 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 46 | Steps 94208 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.798  hid=0.90 (5ep) | seeker=-0.894  hid=0.95 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 47 | Steps 96256 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.570  hid=0.79 (5ep) | seeker=-0.909  hid=0.95 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 48 | Steps 98304 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.767  hid=0.88 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.11 rlock=0.00
Iter 49 | Steps 100352 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.909  hid=0.95 (5ep) | seeker=-0.746  hid=0.87 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 50 | Steps 102400 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.872  hid=0.94 (5ep) | barr=0.00 elev=0.10 rlock=0.00
Iter 51 | Steps 104448 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.948  hid=0.97 (5ep) | seeker=-0.848  hid=0.92 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 52 | Steps 106496 | Pools h=6 s=6 | pR=1.00 | std h=2.66 s=0.28 | hider=+0.641  hid=0.82 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 53 | Steps 108544 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.926  hid=0.96 (5ep) | barr=0.00 elev=0.18 rlock=0.00
