[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 44 | Steps 352000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.506  hid=0.75 (20ep) | seeker=-0.797  hid=0.90 (20ep) | barr=0.78 elev=0.21 rlock=0.03
Iter 45 | Steps 360000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.524  hid=0.76 (20ep) | seeker=-0.481  hid=0.74 (20ep) | barr=0.78 elev=0.27 rlock=0.07
Iter 46 | Steps 368000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.063  hid=0.53 (20ep) | seeker=-0.586  hid=0.79 (20ep) | barr=0.80 elev=0.41 rlock=0.00
Iter 47 | Steps 376000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.532  hid=0.77 (20ep) | seeker=-0.546  hid=0.77 (20ep) | barr=0.90 elev=0.27 rlock=0.05
Iter 48 | Steps 384000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.467  hid=0.73 (20ep) | seeker=-0.085* hid=0.54 (20ep) | barr=0.65 elev=0.35 rlock=0.03
Iter 49 | Steps 392000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.431  hid=0.72 (20ep) | seeker=-0.565  hid=0.78 (20ep) | barr=0.70 elev=0.30 rlock=0.00
Iter 50 | Steps 400000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.602  hid=0.80 (20ep) | seeker=-0.494  hid=0.75 (20ep) | barr=0.72 elev=0.25 rlock=0.00
Iter 51 | Steps 408000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.437  hid=0.72 (20ep) | seeker=-0.350  hid=0.68 (20ep) | barr=0.78 elev=0.28 rlock=0.03
Iter 52 | Steps 416000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.431  hid=0.72 (20ep) | seeker=-0.584  hid=0.79 (20ep) | barr=0.65 elev=0.25 rlock=0.10
Iter 53 | Steps 424000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.673  hid=0.84 (20ep) | seeker=-0.751  hid=0.88 (20ep) | barr=0.65 elev=0.21 rlock=0.10
Iter 54 | Steps 432000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.422  hid=0.71 (20ep) | seeker=-0.473  hid=0.74 (20ep) | barr=0.78 elev=0.30 rlock=0.10
Iter 55 | Steps 440000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.520  hid=0.76 (20ep) | seeker=-0.691  hid=0.85 (20ep) | barr=0.75 elev=0.21 rlock=0.03
Iter 56 | Steps 448000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.523  hid=0.76 (20ep) | seeker=-0.433  hid=0.72 (20ep) | barr=0.82 elev=0.26 rlock=0.00
Iter 57 | Steps 456000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.569  hid=0.78 (20ep) | seeker=-0.426  hid=0.71 (20ep) | barr=0.88 elev=0.27 rlock=0.05
Iter 58 | Steps 464000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.326  hid=0.66 (20ep) | seeker=-0.590  hid=0.79 (20ep) | barr=0.72 elev=0.24 rlock=0.07
Iter 59 | Steps 472000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.444  hid=0.72 (20ep) | seeker=-0.679  hid=0.84 (20ep) | barr=0.75 elev=0.24 rlock=0.03
Iter 60 | Steps 480000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.348  hid=0.67 (20ep) | seeker=-0.554  hid=0.78 (20ep) | barr=0.80 elev=0.28 rlock=0.10
Iter 61 | Steps 488000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.680  hid=0.84 (20ep) | seeker=-0.478  hid=0.74 (20ep) | barr=0.78 elev=0.21 rlock=0.10
Iter 62 | Steps 496000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.508  hid=0.75 (20ep) | seeker=-0.543  hid=0.77 (20ep) | barr=0.70 elev=0.25 rlock=0.00
Iter 63 | Steps 504000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.541  hid=0.77 (20ep) | seeker=-0.514  hid=0.76 (20ep) | barr=0.75 elev=0.26 rlock=0.10
Iter 64 | Steps 512000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.88 s=0.62 | hider=+0.711  hid=0.86 (20ep) | seeker=-0.600  hid=0.80 (20ep) | barr=0.85 elev=0.23 rlock=0.05
Iter 65 | Steps 520000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.88 s=0.62 | hider=+0.366  hid=0.68 (20ep) | seeker=-0.459  hid=0.73 (20ep) | barr=0.72 elev=0.32 rlock=0.05
Iter 66 | Steps 528000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.389  hid=0.69 (20ep) | seeker=-0.386  hid=0.69 (20ep) | barr=0.72 elev=0.33 rlock=0.15
Iter 67 | Steps 536000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.507  hid=0.75 (20ep) | seeker=-0.571  hid=0.79 (20ep) | barr=0.68 elev=0.27 rlock=0.10
Iter 68 | Steps 544000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.510  hid=0.75 (20ep) | seeker=-0.269  hid=0.63 (20ep) | barr=0.80 elev=0.32 rlock=0.05
Iter 69 | Steps 552000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.363  hid=0.68 (20ep) | seeker=-0.531  hid=0.77 (20ep) | barr=0.75 elev=0.30 rlock=0.07
Iter 70 | Steps 560000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.445  hid=0.72 (20ep) | seeker=-0.419  hid=0.71 (20ep) | barr=0.75 elev=0.29 rlock=0.03
Iter 71 | Steps 568000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.536  hid=0.77 (20ep) | seeker=-0.725  hid=0.86 (20ep) | barr=0.72 elev=0.19 rlock=0.07
Iter 72 | Steps 576000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.61 | hider=+0.421  hid=0.71 (20ep) | seeker=-0.510  hid=0.75 (20ep) | barr=0.88 elev=0.27 rlock=0.05
Iter 73 | Steps 584000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.455  hid=0.73 (20ep) | seeker=-0.592  hid=0.80 (20ep) | barr=0.72 elev=0.28 rlock=0.00
