[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=100000000 s2=0-0 hidden=256
[vec] warm-started both teams from hs_lstm20m_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:221: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 73 | Steps 584000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.400  hid=0.70 (20ep) | seeker=-0.353  hid=0.68 (20ep) | barr=0.25 elev=0.25 rlock=0.05
Iter 74 | Steps 592000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.485  hid=0.74 (20ep) | seeker=-0.423  hid=0.71 (20ep) | barr=0.12 elev=0.23 rlock=0.03
Iter 75 | Steps 600000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.356  hid=0.68 (20ep) | seeker=-0.266  hid=0.63 (20ep) | barr=0.10 elev=0.27 rlock=0.05
Iter 76 | Steps 608000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.353  hid=0.68 (20ep) | seeker=-0.550  hid=0.77 (20ep) | barr=0.12 elev=0.24 rlock=0.05
Iter 77 | Steps 616000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.615  hid=0.81 (20ep) | seeker=-0.274  hid=0.64 (20ep) | barr=0.25 elev=0.25 rlock=0.03
Iter 78 | Steps 624000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.700  hid=0.85 (20ep) | seeker=-0.469  hid=0.73 (20ep) | barr=0.05 elev=0.16 rlock=0.03
Iter 79 | Steps 632000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.506  hid=0.75 (20ep) | seeker=-0.548  hid=0.77 (20ep) | barr=0.28 elev=0.23 rlock=0.03
Iter 80 | Steps 640000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.048  hid=0.52 (20ep) | seeker=-0.663  hid=0.83 (20ep) | barr=0.28 elev=0.28 rlock=0.03
Iter 81 | Steps 648000 | Pools h=5 s=5 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.402  hid=0.70 (20ep) | seeker=-0.517  hid=0.76 (20ep) | barr=0.17 elev=0.21 rlock=0.10
Iter 82 | Steps 656000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.381  hid=0.69 (20ep) | seeker=-0.336  hid=0.67 (20ep) | barr=0.15 elev=0.31 rlock=0.03
