[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 41 | Steps 328000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.657  hid=0.83 (20ep) | seeker=-0.444  hid=0.72 (20ep) | barr=0.72 elev=0.23 rlock=0.10
Iter 42 | Steps 336000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.731  hid=0.87 (20ep) | seeker=-0.605  hid=0.80 (20ep) | barr=0.68 elev=0.17 rlock=0.03
Iter 43 | Steps 344000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.518  hid=0.76 (20ep) | seeker=-0.508  hid=0.75 (20ep) | barr=0.82 elev=0.28 rlock=0.10
Iter 44 | Steps 352000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.412  hid=0.71 (20ep) | seeker=-0.507  hid=0.75 (20ep) | barr=0.70 elev=0.27 rlock=0.07
Iter 45 | Steps 360000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.495  hid=0.75 (20ep) | seeker=-0.390  hid=0.69 (20ep) | barr=0.70 elev=0.32 rlock=0.00
Iter 46 | Steps 368000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.488  hid=0.74 (20ep) | seeker=-0.356  hid=0.68 (20ep) | barr=0.75 elev=0.32 rlock=0.05
Iter 47 | Steps 376000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.254  hid=0.63 (20ep) | seeker=-0.515  hid=0.76 (20ep) | barr=0.78 elev=0.28 rlock=0.07
Iter 48 | Steps 384000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.595  hid=0.80 (20ep) | seeker=-0.648  hid=0.82 (20ep) | barr=0.78 elev=0.20 rlock=0.05
Iter 49 | Steps 392000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.319  hid=0.66 (20ep) | seeker=-0.694  hid=0.85 (20ep) | barr=0.82 elev=0.25 rlock=0.05
Iter 50 | Steps 400000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.418  hid=0.71 (20ep) | seeker=-0.498  hid=0.75 (20ep) | barr=0.68 elev=0.29 rlock=0.05
Iter 51 | Steps 408000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.686  hid=0.84 (20ep) | seeker=-0.475  hid=0.74 (20ep) | barr=0.65 elev=0.21 rlock=0.05
Iter 52 | Steps 416000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.565  hid=0.78 (20ep) | seeker=-0.463  hid=0.73 (20ep) | barr=0.68 elev=0.22 rlock=0.12
Iter 53 | Steps 424000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.506  hid=0.75 (20ep) | seeker=-0.185* hid=0.59 (20ep) | barr=0.78 elev=0.35 rlock=0.05
Iter 54 | Steps 432000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.411  hid=0.71 (20ep) | seeker=-0.424  hid=0.71 (20ep) | barr=0.78 elev=0.31 rlock=0.05
Iter 55 | Steps 440000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.321  hid=0.66 (20ep) | seeker=-0.375  hid=0.69 (20ep) | barr=0.65 elev=0.29 rlock=0.10
Iter 56 | Steps 448000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.546  hid=0.77 (20ep) | seeker=-0.625  hid=0.81 (20ep) | barr=0.90 elev=0.24 rlock=0.05
Iter 57 | Steps 456000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.789* hid=0.89 (20ep) | seeker=-0.406  hid=0.70 (20ep) | barr=0.82 elev=0.23 rlock=0.03
Iter 58 | Steps 464000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.701  hid=0.85 (20ep) | seeker=+0.023* hid=0.49 (20ep) | barr=0.75 elev=0.32 rlock=0.10
Iter 59 | Steps 472000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.633  hid=0.82 (20ep) | seeker=-0.485  hid=0.74 (20ep) | barr=0.82 elev=0.24 rlock=0.05
Iter 60 | Steps 480000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.685  hid=0.84 (20ep) | seeker=-0.566  hid=0.78 (20ep) | barr=0.72 elev=0.22 rlock=0.05
Iter 61 | Steps 488000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.500  hid=0.75 (20ep) | seeker=-0.467  hid=0.73 (20ep) | barr=0.72 elev=0.25 rlock=0.12
Iter 62 | Steps 496000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.648  hid=0.82 (20ep) | seeker=-0.364  hid=0.68 (20ep) | barr=0.85 elev=0.27 rlock=0.05
Iter 63 | Steps 504000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.563  hid=0.78 (20ep) | seeker=-0.571  hid=0.79 (20ep) | barr=0.80 elev=0.22 rlock=0.03
Iter 64 | Steps 512000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.519  hid=0.76 (20ep) | seeker=-0.309  hid=0.65 (20ep) | barr=0.80 elev=0.31 rlock=0.05
Iter 65 | Steps 520000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.558  hid=0.78 (20ep) | seeker=-0.035  hid=0.52 (20ep) | barr=0.75 elev=0.37 rlock=0.07
Iter 66 | Steps 528000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.475  hid=0.74 (20ep) | seeker=-0.360  hid=0.68 (20ep) | barr=0.82 elev=0.29 rlock=0.05
Iter 67 | Steps 536000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.683  hid=0.84 (20ep) | seeker=-0.553  hid=0.78 (20ep) | barr=0.70 elev=0.19 rlock=0.07
Iter 68 | Steps 544000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.519  hid=0.76 (20ep) | seeker=-0.544  hid=0.77 (20ep) | barr=0.75 elev=0.28 rlock=0.05
Iter 69 | Steps 552000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.461  hid=0.73 (20ep) | seeker=-0.600  hid=0.80 (20ep) | barr=0.82 elev=0.25 rlock=0.03
Iter 70 | Steps 560000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.487  hid=0.74 (20ep) | seeker=-0.676  hid=0.84 (20ep) | barr=0.75 elev=0.21 rlock=0.00
Iter 71 | Steps 568000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.483  hid=0.74 (20ep) | seeker=-0.316  hid=0.66 (20ep) | barr=0.70 elev=0.29 rlock=0.03
